Relation_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Source_Entity_Name,Target_Entity_Name,Source_Label,Target_Label,SourceTo_Target_Cardinality,TargetTo_Source_Cardinality,Source_Optional,Target_Optional,Dominant_Role,Identifying,Source_ID,Num_Source_ID,Target_ID,Num_Target_ID,Number_Of_Attributes
Asset pool (subject to a Securitisation and other credit transfer) comprises Non-balance sheet recognised security postion(s) via Asset pool Non-balance sheet recognised Security position ,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,F5AF8283-2AA7-BC6C-6C81-D93364C75ED7,4933,,Asset pool (subject to a Securitisation and other credit transfer),Asset pool Non-balance sheet recognised security position assignment,,,*,1,Y,N,None,Y,CF3123E9-C3A5-7650-8DD2-DBE9CABA5872,603,F85E3E26-6E1E-FFE9-99B6-7BA7F7337358,613,5
Asset pool (subject to a Securitisation and other credit transfer) comprises Over the counter (OTC) Derivative instrument via Asset pool Over the counter (OTC) Derivative instrument assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,B65709A5-BE21-B266-2EBB-8DA6C413478D,4934,,Asset pool (subject to a Securitisation and other credit transfer),Asset pool Over the counter (OTC) Derivative instrument assignment,,,*,1,Y,N,None,Y,CF3123E9-C3A5-7650-8DD2-DBE9CABA5872,603,BC33E184-994C-E565-57F3-4A7572B38D53,614,5
Asset pool (subject to a Securitisation and other credit transfer) has Equity instrument that is not a security via Asset pool Equity instrument that is not a security assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,9B338FAE-B797-D8AA-1F43-3806B4CB0D3E,4935,,Asset pool (subject to a Securitisation and other credit transfer),Asset pool Equity instrument that is not a security assignment,,,*,1,Y,N,None,Y,CF3123E9-C3A5-7650-8DD2-DBE9CABA5872,603,95029E39-5435-2C4B-B75A-AA3013E2D9E7,607,5
Asset pool Deposit assignment has Asset pool Deposit assignment derived,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,38570908-758F-FA36-C4D0-F0A91F22F098,4936,,Asset pool Deposit assignment,Asset pool Deposit assignment derived data,,,1,1,Y,N,Asset pool Deposit assignment,Y,D143C8B3-BD28-54B3-0EFA-ECB88CD47327,605,760974AE-21CE-433C-A93D-72899FFE26FA,606,10
Asset pool Loan assignment has Asset pool Loan assignment derived data,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,EA6BD6AB-D555-9D23-9D96-EF0EE6989C68,4937,,Asset pool Loan assignment,Asset pool Loan assignment derived data,,,1,1,Y,N,Asset pool Loan assignment,Y,2920BCAE-102A-9ABA-B91C-D4DF1E83B442,610,993F65A6-8E98-9B9A-8F9E-C382463B0B8D,611,10
Assigned debtor has Assigned debtor derived data,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,18A7F963-174C-33A6-CA42-11C77CEE876F,4938,,Assigned debtor,Assigned debtor derived data,,,1,1,Y,N,None,Y,02F2FE6D-2515-6757-5033-C336093DB172,615,7A7885DA-E1B0-C4FE-5C1A-452275BEAD8D,616,6
Assigned debtor is debtor of Trade receivable(s) via Trade receivable Assigned debtor assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,F152155E-2532-C083-1344-B9255026BF64,4939,,Assigned debtor,Trade receivable Assigned debtor assignment,,,*,1,Y,N,None,Y,02F2FE6D-2515-6757-5033-C336093DB172,615,0C7AB2CF-78C2-2FC0-DAA0-46CFC7856618,1288,6
"Associate (of the reporting agent) is part of Subsidiary, joint venture and associate via Subsidiary, joint venture and associate Associate assignment",DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,11E56CD6-99F6-5F25-B61B-6D75B974B157,4940,,Associate (of the reporting agent),"Subsidiary, joint venture and associate Associate assignment",,,1,1,Y,N,Associate (of the reporting agent),Y,E4999F8A-CBAF-77AC-0F16-14F53133A020,617,E388C5AF-A657-668E-739A-78827095B5C6,1268,6
At cost based method or Lower of costs or market (LOCOM) indicator classifies Exchange tradable derivative position as a hedge according to national general accepted accounting principles (nGAAP),DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,5119B9A2-524D-A9B4-1A6F-81FA5DCBB8DE,4941,,At cost based method or Lower of costs or market (LOCOM) indicator,Exchange tradable derivative position as a hedge according to national general accepted accounting principles (nGAAP),,,*,1,Y,N,None,N,0E57B8EA-294B-00B6-908B-2E1E6FD34468,618,B3F63A15-F3B1-62CB-02E2-0039876ACA8B,772,1
At cost based method or Lower of costs or market (LOCOM) indicator classifies Over the counter (OTC) Derivative as a hedge according to national general accepted accounting principles (nGAAP),DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,615EE4C6-09B4-31FC-EABB-D55453968CC0,4942,,At cost based method or Lower of costs or market (LOCOM) indicator,Over the counter (OTC) Derivative as a hedge according to national general accepted accounting principles (nGAAP),,,*,1,Y,N,None,N,0E57B8EA-294B-00B6-908B-2E1E6FD34468,618,18A00C9B-FD63-8085-4CEA-5A788FA34539,1078,1
Available for encumbrance indicator classifies Collateral received,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,4D13E590-4E6C-CFAF-AE81-2D7013C3211F,4943,,Available for encumbrance indicator,Collateral received,,,*,1,Y,N,None,N,F0C3D82B-E24E-FAFF-2132-8BCC7A3633EE,619,DCBBAB01-3686-CCD5-A54D-EA33D1CB2ED2,660,1
Available for encumbrance indicator classifies Collateral received instrument,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,DE8D3F8C-2745-1768-D8C8-6DAB621F565D,4944,,Available for encumbrance indicator,Collateral received instrument,,,*,1,Y,N,None,N,F0C3D82B-E24E-FAFF-2132-8BCC7A3633EE,619,E50F91BD-9CAA-1F59-DEF3-6907A545578F,662,1
Available for encumbrance indicator classifies Long balance sheet recognised debt security,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,F86F3B1A-0EA3-84BA-77C7-D94661AABA21,4945,,Available for encumbrance indicator,Long balance sheet recognised security position prudential portfolio Accounting classification assignment,,,*,1,Y,N,None,N,F0C3D82B-E24E-FAFF-2132-8BCC7A3633EE,619,8C41CD82-6B5E-E1F3-6046-8A212990D177,927,1
Available for encumbrance indicator classifies non-balance sheet recognised security position,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,2F4ECC3C-7590-7A1C-AB09-282682A451A6,4946,,Available for encumbrance indicator,Non-balance sheet recognised security position ,,,*,1,Y,N,None,N,F0C3D82B-E24E-FAFF-2132-8BCC7A3633EE,619,D0F54796-D350-E3DC-FBD3-8F0AC47B6353,973,1
Available for encumbrance indicator classifies Protection arrangement received,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,9273070D-1621-47D1-1CDB-27269905C12C,4947,,Available for encumbrance indicator,Protection arrangement received,,,*,1,Y,N,None,N,F0C3D82B-E24E-FAFF-2132-8BCC7A3633EE,619,0DE55755-69A8-375B-E4D0-2058D91A0F9D,1127,1
Balance sheet netting nets Instrument(s),DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,50BFE82A-39E6-628F-C6B8-AEB697E0C5F0,4948,,Balance sheet netting,Instrument,,,*,1,Y,Y,None,N,23148432-A874-DA9F-FEEC-2D786093A281,620,54907B80-5ADD-5298-6AE7-54D1AC9CA6F6,848,5
Balance sheet recognised exchange tradable derivative asset position may have Balance sheet recognised exchange tradable derivative asset position derived data,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,3B4699B3-D84A-6F70-6E2F-47462F5F7658,4949,,Balance sheet recognised exchange tradable derivative asset position,Balance sheet recognised exchange tradable derivative asset position derived data,,,1,1,Y,N,Balance sheet recognised exchange tradable derivative asset position,Y,CD8E5291-A87C-578E-7536-20CECA5FA9A0,622,294C38FE-B973-CD4C-E310-51BFB56233FA,623,18
Balance sheet recognised exchange tradable derivative asset position taken into possession has Balance sheet recognised exchange tradable derivative asset position taken into possession derived data,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,CFA8D744-6249-7BF7-29EE-4412B981BD67,4950,,Balance sheet recognised exchange tradable derivative asset position taken into possession,Balance sheet recognised exchange tradable derivative asset position taken into possession derived data,,,1,1,Y,N,None,Y,FBCD1420-E876-0B9F-0C12-CDFC6DD20EB8,627,4D74C9EB-D462-9E5D-1F2B-C7633776FD9C,628,18
Balance sheet recognised financial asset instrument may have Balance sheet recognised financial asset instrument derived data,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,13D88993-4CCB-284E-B7E5-20F449E8AD34,4951,,Balance sheet recognised financial asset instrument,Balance sheet recognised financial asset instrument derived data,,,1,1,Y,N,Balance sheet recognised financial asset instrument,Y,D98528DD-4340-7068-DCF4-FC4EE2F41DB4,630,7843E56A-D970-2EDE-467A-EBF530A20DE5,633,6
Balance sheet recognised financial asset instrument taken into possession has Balance sheet recognised financial asset instrument taken into possession derived data,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,FDE68269-173B-90B1-531A-097FDE70788A,4952,,Balance sheet recognised financial asset instrument taken into possession,Balance sheet recognised financial asset instrument taken into possession derived data,,,1,1,Y,N,None,N,3649C4B6-CAF1-2216-8522-0BB74655A9C1,635,5A9E94C8-BB1A-90A2-D0BE-9F9B9F426CDB,636,6
Balance sheet recognition status is assigned to Balance sheet recognised financial asset instrument,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,C63A22D0-916E-13BD-49AB-A66C15511920,4953,,Balance sheet recognition status,Balance sheet recognised financial asset instrument,,,*,1,Y,N,None,N,6FF5B73E-2314-A267-3889-069CD20CFFD0,639,D98528DD-4340-7068-DCF4-FC4EE2F41DB4,630,1
Beneficiary benefits from Financial guarantee instrument(s) via Financial guarantee instrument Beneficiary assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,2449C65F-E343-0373-A408-5C701420AEBE,4954,,Beneficiary,Financial guarantee instrument Beneficiary assignment,,,*,1,Y,N,None,Y,73DFA7C6-B0AA-DF48-9379-183B5D4D414E,640,516FC70D-D94E-0757-F7FD-664E20524129,800,6
Borrower borrows via Security borrowing and lending transaction Borrower assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,2E6A2109-95E2-AE4E-0D95-A21737DBC89A,4955,,Borrower,Security borrowing and lending transaction Borrower assignment,,,*,1,Y,N,None,Y,5AC6805B-9854-67C1-2144-147C76F0687D,641,5A0F8750-74E4-9770-6E3A-7BDC553C5132,1211,6
Buyer buys Exchange tradable derivative position,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,8ED97D58-57AD-23B5-4EC8-5A9FAA486DF2,4956,,Buyer,Exchange tradable derivative position,,,*,1,Y,N,None,Y,4CFFA0D9-78C3-DEC6-D0A3-DE192BE46AD7,643,DB0CC98E-4E09-ADBF-024E-4EF7E3FA6604,769,6
Buyer buys Over the counter (OTC) derivatives instrument(s) via Over the counter (OTC) Derivative Buyer assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,B92BB822-4A50-A794-A00B-E2ECC2A0422C,4957,,Buyer,Over the counter (OTC) Derivative Buyer assignment,,,*,1,Y,N,None,Y,4CFFA0D9-78C3-DEC6-D0A3-DE192BE46AD7,643,583A4DA9-99D9-9833-36BF-F8B8BE874981,1079,6
Central bank and private sector company acts in Central bank and private sector company role,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,760453C3-0E4B-83B6-9BDB-E00F2D580AA6,4958,,Central bank and private sector company,Central bank and private sector company role,,,*,1,Y,N,None,Y,85956057-D0C7-8869-F90B-A6A301A3A30F,647,0A8459C5-6F0E-2DFD-CCB2-4B74CD47130F,648,5
Central bank and private sector company is assigned to Rating grade(s) for issuer based rating system for non-central government via Rating grade Central bank and private sector company assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,8C9A9763-CC34-7B0E-D57E-4EBB61FBF753,4959,,Central bank and private sector company,Rating grade Central bank and private sector company assignment,,,*,1,Y,N,None,Y,85956057-D0C7-8869-F90B-A6A301A3A30F,647,5DE71C99-66A5-4961-0C97-745882528C1C,1144,5
Central bank and private sector company is Immediate parent via Immediate parent enterprise assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,ACCB1FE4-4A25-FEC0-BFB6-83BDB11E8DFD,4960,,Central bank and private sector company,Immediate parent enterprise assignment,,,*,1,Y,N,None,Y,85956057-D0C7-8869-F90B-A6A301A3A30F,647,72CB0826-36E0-A4B4-3525-40FB92136EC6,841,5
Central bank and private sector company is Linked enterprise via Linked enterprise assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,2AA5D36A-3CB7-AF32-2791-0D50590FF31C,4961,,Central bank and private sector company,Linked enterprise assignment,,,*,1,Y,N,None,Y,85956057-D0C7-8869-F90B-A6A301A3A30F,647,37968742-5377-688E-6FDC-0D3CEA5E7033,902,5
Central bank and private sector company is Partner enterprise via Partner enterprise assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,45F3773C-AB71-32B5-C55B-559BBA7DC77C,4962,,Central bank and private sector company,Partner enterprise assignment,,,*,1,Y,N,None,Y,85956057-D0C7-8869-F90B-A6A301A3A30F,647,8612644A-423D-E808-F058-A7534601A9DC,1091,5
Central government rating system has Rating grade for issuer based rating system for central government,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,D35CBE15-BA7D-06C5-CF50-21AB7C49B44C,4963,,Central government rating system,Rating grade for issuer based rating system for central government,,,*,1,N,N,None,Y,1F266798-45BC-3C0D-FD20-FBAB2FC9F795,652,21CE7102-B246-2114-FE32-460B8623528C,1149,2
Clearing member is involved in Master agreement(s) with a clearing member via Master agreement Clearing member assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,328A060E-4E6A-027B-282C-D1DC649DA0A5,4964,,Clearing member,Master agreement Clearing member assignment,,,*,1,Y,N,None,Y,D0BEAA2F-AACC-045F-DFDD-9EA5C8F5A1B5,653,0A27BD5C-1071-1F0B-88FF-6EA5ED8B30D8,946,6
Collateral annex comprises Financial collateral,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,2AE30A7B-B386-18B1-7A59-391CAD28C7B9,4965,,Collateral annex,Financial collateral,,,*,1,Y,N,None,N,32D7B41A-5C63-39E3-2CDC-C815C7D4F85F,655,76BD9E69-EDB2-E5B0-AFCC-04A52742AC34,796,5
Collateral given instrument is given as collateral to Instrument via Collateral given instrument Instrument assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,7DCD5B2A-5444-FFD4-08D7-3A149B93F461,4966,,Collateral given instrument,Collateral given instrument Instrument assignment,,,*,1,Y,N,None,Y,FC51FB14-8425-1E07-191C-49B6976569AA,657,68FCA69A-2031-3F8A-323B-62622A36D329,659,6
Collateral given instrument is given as protection to Debt security issued via Collateral given instrument Debt security issued assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,811526BD-2CB2-E7A5-6FA4-FA1D417CFC4B,4967,,Collateral given instrument,Collateral given instrument Debt security issued assignment,,,*,1,Y,N,None,Y,FC51FB14-8425-1E07-191C-49B6976569AA,657,1FA53472-DF84-3E02-DC8C-1FA9C5F591E6,658,6
Collateral given protects Deposit(s) via Deposit Collateral given assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,18755C9C-950F-D976-C4EA-CAC1EB759C3A,4968,,Collateral given,Deposit Collateral given assignment,,,*,1,Y,N,None,Y,F4547A0A-7D7D-C26A-4956-DCFBBC4E05C4,656,E52CED45-CFD3-7705-39C4-F0FC1CCFD826,724,6
Collateral given protects Loan(s) and advance via Off-balance instrument Collateral given assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,A3919DFB-DB5A-7081-F82B-DA9497872891,4969,,Collateral given,Off-balance instrument Collateral given assignment,,,*,1,Y,N,None,Y,F4547A0A-7D7D-C26A-4956-DCFBBC4E05C4,656,838313BF-5398-7A18-08C7-3D12F4E8FE2C,1023,6
Collateral given protects Over the counter (OTC) Derivative instrument(s) via Over the counter (OTC) Derivative instrument Collateral given assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,F8B98CE9-32EA-F653-3E73-C6AFB6A227F1,4970,,Collateral given,Over the counter (OTC) Derivative instrument Collateral given assignment,,,*,1,Y,N,None,Y,F4547A0A-7D7D-C26A-4956-DCFBBC4E05C4,656,17FE648E-4D9F-FB11-6BA6-E04B683D1BD7,1081,6
Collateral has Collateral role,DA75945B-3FE1-4CE1-31BE-32494C407F7E,573,6045DE7C-B438-877A-8EBF-E49F3DEAFC5C,4971,,Collateral,Collateral role,,,*,1,Y,N,None,Y,4793B60D-47B8-57C4-12B5-6BD21499308A,654,F6388EB7-5C3F-2BDB-A2D9-E478DD2F89DD,664,5
